State,Region
WA,West
OR,West
CA,West
NV,West
AZ,West
NM,West
UT,West
CO,West
WY,West
ID,West
MT,West
AK,West
HI,West
ND,Midwest
SD,Midwest
NE,Midwest
KS,Midwest
MO,Midwest
IA,Midwest
MN,Midwest
WI,Midwest
IL,Midwest
IN,Midwest
OH,Midwest
MI,Midwest
TX,South
OK,South
AR,South
LA,South
MS,South
AL,South
GA,South
SC,South
NC,South
FL,South
TN,South
KY,South
WV,South
VA,South
DC,South
MD,South
DE,South
PA,Northeast
NJ,Northeast
NY,Northeast
CT,Northeast
RI,Northeast
MA,Northeast
VY,Northeast
NH,Northeast
ME,Northeast
